10000 390
20000 679
30000 839
40000 1277
50000 1671
60000 2065
70000 2370
80000 2681
90000 2610
100000 3638
110000 3207
120000 3992
130000 3831
140000 4769
150000 4161
160000 5412
170000 4767
180000 5659
190000 6991
200000 6680
210000 6835
220000 7883
230000 6727
240000 7728
250000 7618
260000 8880
270000 7570
280000 9277
290000 8043
300000 9436
310000 9411
320000 10449
330000 9864
340000 10731
350000 12286
360000 12003
370000 11256
380000 12889
390000 15157
400000 13947
410000 11891
420000 15379
430000 13970
440000 15174
450000 12719
460000 15187
470000 13299
480000 15377
490000 15029
500000 23795
510000 23069
520000 19955
530000 15723
540000 17295
550000 15900
560000 19682
570000 16715
580000 19663
590000 17173
600000 20294
610000 18090
620000 21114
630000 19340
640000 21288
650000 20208
660000 21783
670000 19661
680000 23101
690000 20298
700000 23886
710000 19187
720000 22608
730000 19741
740000 22849
750000 21747
760000 23872
770000 22600
780000 25783
790000 23027
800000 27714
810000 23070
820000 27086
830000 24481
840000 26542
850000 23452
860000 28059
870000 24444
880000 28059
890000 25843
900000 28343
910000 24600
920000 28027
930000 24682
940000 27947
950000 24608
960000 30033
970000 26380
980000 32144
990000 27107
1000000 31051
