10000 556
20000 1160
30000 1574
40000 2538
50000 3035
60000 5351
70000 5775
80000 5266
90000 6600
100000 6882
110000 7639
120000 8767
130000 7938
140000 9694
150000 9667
160000 11113
170000 11083
180000 12310
190000 11961
200000 13841
210000 13502
220000 15396
230000 14100
240000 16256
250000 15231
260000 17866
270000 17044
280000 19918
290000 18562
300000 20452
310000 19220
320000 22751
330000 23200
340000 24271
350000 22624
360000 25579
370000 23413
380000 27800
390000 27583
400000 28549
410000 24756
420000 28707
430000 28857
440000 30447
450000 28997
460000 36686
470000 35715
480000 38665
490000 35791
500000 39498
510000 36394
520000 36084
530000 34371
540000 39169
550000 37205
560000 42216
570000 38710
580000 45505
590000 41317
600000 44489
610000 41200
620000 46676
630000 44277
640000 47039
650000 46168
660000 48601
670000 42359
680000 46810
690000 41139
700000 47138
710000 42911
720000 48169
730000 44332
740000 49166
750000 46219
760000 51475
770000 47515
780000 54025
790000 47559
800000 54220
810000 49915
820000 55707
830000 52362
840000 53500
850000 48406
860000 53713
870000 51314
880000 55702
890000 50673
900000 55549
910000 53152
920000 63150
930000 54782
940000 58102
950000 51888
960000 61949
970000 56689
980000 61258
990000 55308
1000000 64043
